TableInfos;;;;;;;;;;;;;;;;;;;;
ID;Title;ShortTitle;Identifier;Summary;Modified;ReasonDelivery;ExplanatoryText;Language;Catalog;Frequency;Period;ShortDescription;Description;DefaultPresentation;DefaultSelection;GraphTypes;OutputStatus;Source;MetaDataModified;SearchPriority
67;47;63;Topic;LageInkomens2e3eOf4eDeciel_47;Lage inkomens 2e, 3e, of 4e deciel %;"Het aantal huishoudens op 31 december 2013 met inkomen in 2013 in het 2e, 3e, of 4e deciel van de landelijke inkomensverdeling als percentage van het totaal aantal huishoudens met inkomen voor de gemeentelijke indeling van 1-1-2016.

Huishoudens zijn in tien inkomensklasse verdeeld. De klassengrenzen van de verdeling zijn als volgt bepaald. De huishoudens van geheel Nederland worden gerangschikt naar hoogte van besteedbaar inkomen van het voorafgaande jaar. Daarna worden de eenheden in tien, qua aantal gelijke groepen (decielgroepen) verdeeld en wordt het hoogste inkomen in elke groep bepaald. Deze inkomens vormen de klassengrenzen (decielen). De huishoudens in het 2e, 3e en 4e deciel vormen in dit geval de groep 'relatief lage inkomens'.
De populatie omvat alle huishoudens inclusief studentenhuishoudens en institutionele huishoudens; huishoudens zonder (waargenomen) belastbaar inkomen zijn buiten beschouwing gelaten.
Een particulier huishouden bestaat uit een of meer personen die alleen of samen in een woonruimte gehuisvest zijn en zelf in hun dagelijkse levensbehoeften voorzien.
Een institutioneel huishouden is gedefinieerd als een uit een of meer leden bestaande verzameling van personen, woonachtig in een tot bewoning bestemd gebouw of in een andere bewoonde ruimte, die daar door derden wordt voorzien van huisvesting en van dagelijkse levensbehoeften.
Huishoudens waarvan alle huishoudensleden een WSF-uitkering (Wet Studie Financiering) ontvangen behoren tot de groep studentenhuishoudens; werkstudenten behoren ook tot deze categorie.
Het 'besteedbaar inkomen' is het bruto-inkomen verminderd met de premies sociale zekerheid en andere betaalde overdrachten (o.a. alimentatie voor ex-partner) en de loon-, inkomsten- en vermogensbelasting.
Het bruto-inkomen omvat winst uit onderneming, bruto-inkomsten uit arbeid, inkomsten uit vermogen en bruto ontvangen overdrachten (zoals RWW, AOW, WAZ, WAJONG en WAO).

De cijfers over het aantal huishoudens met inkomens in het 2e, 3e, of 4e deciel in deze tabel kunnen afwijken van soortgelijke cijfers op Statline over het aantal huishoudens met inkomens in het 2e, 3e, of 4e deciel. Dit komt doordat in deze tabel de gemeentelijke indeling van 2016 is toegepast maar de definitieve cijfers ten behoeve van de Wmo over 31 december 2013 gaan.";;Float;%;1;Impossible;;;;;;;;;
68;48;59;Topic;WajongUitkeringen_48;Wajong-uitkeringen;"Het aantal uitkeringen op grond van de Wet arbeidsongeschiktheidsvoorziening jonggehandicapten (Wajong) en de Wet werk en arbeidsondersteuning jonggehandicapten (Wet Wajong) op 31 december 2014 voor de gemeentelijke indeling van 1-1-2016.

Wet arbeidsongeschiktheidsvoorziening jonggehandicapten (Wajong):
Wettelijke voorziening in de financiële gevolgen van langdurige arbeidsongeschiktheid van mensen die geen aanspraak kunnen maken op de WAO/WIA, omdat er geen arbeidsverleden is opgebouwd.
Dit zijn mensen die arbeidsongeschikt zijn voor de dag dat zij 17 jaar worden of na hun 17e jaar arbeidsongeschikt worden én een opleiding/studie volgen.
Vanaf 1 januari 2010 is de Wajong vervangen door de Wet Wajong. De Wajong blijft gelden voor jongeren die voor 1 januari 2010 al een uitkering ontvingen.
Het recht op een uitkering op grond van de Wajong vervalt bij het bereiken van de AOW-gerechtigde leeftijd.

Wet werk en arbeidsondersteuning jonggehandicapten (Wet Wajong):
Met ingang van 1 januari 2010 is de Wet werk en arbeidsondersteuning jonggehandicapten (Wet Wajong) in werking getreden.
In tegenstelling tot de Wajong hebben jongeren met een ziekte of handicap in de eerste plaats recht op hulp bij het vinden en houden van werk. Daaraan gekoppeld kunnen ze een inkomensondersteuning krijgen.
Het recht op een uitkering op grond van de Wet Wajong vervalt bij het bereiken van de AOW-gerechtigde leeftijd.

De cijfers over het aantal uitkeringen op grond van de Wajong en Wet Wajong in deze tabel kunnen afwijken van soortgelijke cijfers op Statline over het aantal uitkering op grond van de Wajong en Wet Wajong. Dit komt doordat in deze tabel de meest recente gemeentelijke indeling is toegepast maar de cijfers over 2014 gaan.
";;Long;aantal;0;Impossible;;;;;;;;;
69;;59;TopicGroup;;Periodieke bijstanduitkeringen;"Het aantal uitkeringen op grond van een bijstandswet of bijstandsgerelateerde wet.
Bijstandswetten zijn de Participatiewet (vanaf 2015) en de Wet werk en bijstand (WWB, tot 2015).
Bijstandsgerelateerde wetten zijn de Wet inkomensvoorziening oudere en gedeeltelijk arbeidsongeschikte werkloze werknemers (IOAW), de Wet inkomensvoorziening oudere en gedeeltelijk arbeidsongeschikte gewezen zelfstandigen (IOAZ) en het Besluit bijstandsverlening zelfstandigen 2004 (Bbz).
Een uitkering aan een (echt)paar wordt geteld als één uitkering aan twee personen.
";;;;;;;;;;;;;;
70;49;69;Topic;Totaal_49;Totaal;"Het totaal aantal uitkeringen op grond van een bijstandswet of bijstandsgerelateerde wet op 31 december 2014 voor de gemeentelijke indeling van 1-1-2016.

Bijstandswetten zijn de Participatiewet (vanaf 2015) en de Wet werk en bijstand (WWB, tot 2015).
Bijstandsgerelateerde wetten zijn de Wet inkomensvoorziening oudere en gedeeltelijk arbeidsongeschikte werkloze werknemers (IOAW), de Wet inkomensvoorziening oudere en gedeeltelijk arbeidsongeschikte gewezen zelfstandigen (IOAZ) en het Besluit bijstandsverlening zelfstandigen 2004 (Bbz).

De cijfers over het aantal bijstandsuitkeringen in deze tabel kunnen afwijken van soortgelijke cijfers op Statline over het aantal bijstandsuitkeringen. Dit komt doordat in deze tabel de gemeentelijke indeling van 2016 is toegepast maar de definitieve cijfers ten behoeve van de Wmo over 31 december 2014 gaan.";;Long;aantal;0;Impossible;;;;;;;;;
71;50;69;Topic;WWB_50;WWB;"Het aantal uitkeringen aan thuiswonenden jonger dan 65 jaar op grond van de Wet Werk en Bijstand (tot 2015) en de Participatiewet (vanaf 2015) op 31 december 2014 voor de gemeentelijke indeling van 1-1-2016.

Wet werk en bijstand (WWB)
De WWB is een wettelijke sociale voorziening die op 1 januari 2004 in werking is getreden ter vervanging van de Algemene bijstandswet (Abw), de Wet inschakeling werkzoekenden (WIW) en het Besluit In- en Doorstroombanen (ID-banen). Uitgangspunt van de wet is dat mensen zoveel mogelijk zelf in hun eigen onderhoud voorzien. De WWB regelt bijstand voor mensen die hiertoe niet in staat zijn en die geen beroep kunnen doen op een ander socialezekerheidswet. Uitvoering van de wet ligt bij de gemeente, die naast financiële steun ook hulp biedt bij re-integratie in het arbeidsproces. De WWB is per 1 januari 2015 op enkele punten aangepast en vervangen door de Participatiewet.

Participatiewet
De Participatiewet vervangt per 1 januari 2015 de WWB, de Wet sociale werkvoorziening (WSW) en een deel van de Wet Wajong.
De Participatiewet komt vrijwel overeen met de WWB, maar nog sterker wordt de nadruk gelegd op participatie aan het arbeidsproces.
Personen die door lichamelijke, verstandelijke of psychische aandoeningen alleen onder aangepaste omstandigheden kunnen werken vallen vanaf 1 januari 2015 onder de Participatiewet en niet meer onder de WSW. Ook jonggehandicapten die nog kunnen werken vallen vanaf die datum onder de Participatiewet en niet meer onder de Wet Wajong.

De cijfers over het aantal bijstandsuitkeringen in deze tabel kunnen afwijken van soortgelijke cijfers op Statline over het aantal bijstandsuitkeringen. Dit komt doordat in deze tabel de gemeentelijke indeling van 2016 is toegepast maar de definitieve cijfers ten behoeve van de Wmo over 31 december 2014 gaan.";;Long;aantal;0;Impossible;;;;;;;;;
72;51;69;Topic;IOAW_51;IOAW;"Het aantal uitkeringen op grond van de Wet inkomensvoorziening oudere en gedeeltelijk arbeidsongeschikte werkloze werknemers (IOAW) op 31 december 2014 voor de gemeentelijke indeling van 1-1-2016.

Wet inkomensvoorziening oudere gedeeltelijk arbeidsongeschikte werkloze werknemers (IOAW)
De IOAW biedt een inkomensgarantie op het niveau van het sociaal minimum aan oudere werkloze werknemers, van wie het recht op uitkering op grond van de Werkloosheidswet is geëindigd. De wet is in werking getreden op 1 januari 1987 en is ingrijpend gewijzigd met ingang van 1 januari 1996. Het recht op een IOAW-uitkering vervalt bij het bereiken van de AOW-gerechtigde leeftijd.

De cijfers over het aantal IOAW-uitkeringen in deze tabel kunnen afwijken van soortgelijke cijfers op Statline over het aantal IOAW-uitkeringen. Dit komt doordat in deze tabel de gemeentelijke indeling van 2016 is toegepast maar de definitieve cijfers ten behoeve van de Wmo over 31 december 2014 gaan.";;Long;aantal;0;Impossible;;;;;;;;;
73;52;69;Topic;IOAZ_52;IOAZ;"Het aantal uitkeringen op grond van de Wet inkomensvoorziening oudere en gedeeltelijk arbeidsongeschikte gewezen zelfstandigen (IOAZ) op 31 december 2014 voor de gemeentelijke indeling van 1-1-2016.

Wet inkomensvoorziening oudere en gedeeltelijk arbeidsongeschikte gewezen zelfstandigen (IOAZ)
De IOAZ biedt een inkomensgarantie op het niveau van het sociaal minimum aan gewezen zelfstandigen van 55 jaar en ouder, van wie het inkomen duurzaam minder bedraagt dan het sociaal minimum en die als gevolg daarvan het bedrijf of beroep hebben beëindigd. De wet is in werking getreden op 1 januari 1987 en is ingrijpend gewijzigd met ingang van 1 januari 1996. Het recht op een IOAZ-uitkering vervalt bij het bereiken van de AOW-gerechtigde leeftijd.

De cijfers over het aantal IOAZ-uitkeringen in deze tabel kunnen afwijken van soortgelijke cijfers op Statline over het aantal IOAZ-uitkeringen. Dit komt doordat in deze tabel de gemeentelijke indeling van 2016 is toegepast maar de definitieve cijfers ten behoeve van de Wmo over 31 december 2014 gaan.";;Long;aantal;0;Impossible;;;;;;;;;
74;53;69;Topic;Adreslozen_53;Adreslozen;"Het aantal uitkeringen aan bijstandsontvangers zonder adres als bedoeld in artikel 1 van de Wet gemeentelijke basisadministratie persoonsgegevens op 31 december 2014 voor de gemeentelijke indeling van 1-1-2016.

Een beperkt aantal gemeenten is aangewezen om bijstand te verlenen aan adreslozen. Deze gemeenten zijn aangewezen in het Bijstandsbesluit adreslozen. Met ingang van 1999.

De cijfers over het aantal uitkeringen aan adreslozen in deze tabel kunnen afwijken van soortgelijke cijfers op Statline over het aantal uitkeringen aan adreslozen. Dit komt doordat in deze tabel de gemeentelijke indeling van 2016 is toegepast maar de definitieve cijfers ten behoeve van de Wmo over 31 december 2014 gaan.";;Long;aantal;0;Impossible;;;;;;;;;
75;54;69;Topic;BBZ_54;BBZ;"Het aantal uitkeringen aan zelfstandigen ingevolge het Besluit Bijstandverlening Zelfstandigen (Bbz) op 31 december 2014 voor de gemeentelijke indeling van 1-1-2016.

Het Besluit bijstandsverlening zelfstandigen 2004 (Bbz) is ingesteld om een zelfstandige tijdelijk een uitkering te verstrekken totdat hij weer in zijn eigen levensbehoeften kan voorzien. Degenen die in aanmerking komen voor het Bbz zijn gevestigde zelfstandigen die tijdelijk in financiële problemen verkeren, of startende zelfstandigen. Daarnaast biedt het Bbz ook hulp aan oudere zelfstandigen met een niet-levensvatbaar bedrijf of hulp wanneer zelfstandigen hun bedrijf willen beëindigen.

De cijfers over het aantal BBZ-uitkeringen in deze tabel kunnen afwijken van soortgelijke cijfers op Statline over het aantal BBZ-uitkeringen. Dit komt doordat in deze tabel de gemeentelijke indeling van 2016 is toegepast maar de definitieve cijfers ten behoeve van de Wmo over 31 december 2014 gaan.";;Long;aantal;0;Impossible;;;;;;;;;
76;;59;TopicGroup;;Woonkernen;"Woonkernen (Gf-Fvw) zijn in de Financiële verhoudingswet (Fvw) omschreven als geïsoleerde rastervierkanten of aaneen gesloten gebieden van met zijden aan elkaar grenzende rastervierkanten van 500 bij 500 meter (volgens de Rijksdriehoekmeting) binnen een gemeente.
Ieder rastervierkant van een woonkern(Gf-Fvw) bevat ten minste 25 adressen.
De toevoeging (Gf-Fvw) geeft aan dat deze definitie wordt gehanteerd in het kader van de Financiële verhoudingswet (Fvw) die de uitkeringen uit het Gemeentefonds (Gf) regelt.
Met ingang van cijfers over 2015 worden deze afgeleid van de Basisregistratie Adressen en Gebouwen (BAG), waarbij aan verblijfsobjecten, standplaatsen en ligplaatsen per 1 januari van het peiljaar aan een vierkant wordt toegekend.";;;;;;;;;;;;;;
77;55;76;Topic;WoonkernenTotaal_55;Woonkernen: totaal;Het totaal aantal woonkernen (Gf-Fvw) per gemeente volgens de indeling op 1 januari 2016.;;Long;aantal;0;Impossible;;;;;;;;;
78;56;76;Topic;WoonkernenMinimaal500Adressen_56;Woonkernen: minimaal 500 adressen;Het aantal woonkernen (Gf-Fvw) met minimaal 500 adressen binnen een gemeente, volgens de indeling op 1 januari 2016.;;Long;aantal;0;Impossible;;;;;;;;;
79;57;59;Topic;Omgevingsadressendichtheid_57;Omgevingsadressendichtheid;"Omgevingsadressendichtheid (OAD) in adressen / km² op 1 januari 2016.

De OAD is gedefinieerd als het gemiddeld aantal (hoofd)adressen dat een (hoofd)adres in zijn omgeving heeft. Als omgeving van een adres wordt een cirkel aangehouden met een straal van één kilometer rondom dat adres. Bij gemeentelijke en bovengemeentelijke indelingen is de adresgewogen OAD bepaald. Met ingang van cijfers over 2015 wordt het adres gedefinieerd als het hoofdadres van verblijfsobjecten, standplaatsen en ligplaatsen volgens de Basisregistratie Adressen en Gebouwen (BAG). Cijfers over 2014 en voorgaande jaren zijn gebaseerd op adressen van het Geografisch Basisregister (GBR).
Voor meer informatie over de OAD en zijn rol in de bepaling van de stedelijkheid van een gebied wordt verwezen naar het artikel: 'Een nieuwe maatstaf voor stedelijkheid: de omgevingsadressendichtheid' in de Maandstatistiek van de bevolking, jaargang 40, juli 1992, 14-27, CBS. De OAD wordt berekend op basis van de BAG vanaf 2015 of het Geografisch Basisregister (GBR) van januari van het peiljaar, waarbij aan alle (hoofd)adressen een vierkant is toegekend.";;Long;per km²;0;Impossible;;;;;;;;;
80;58;59;Topic;LokaalKlantenpotentieel_58;Lokaal klantenpotentieel ;"Aantal potentiële lokale klanten van de woonkernen in een gemeente op 1 januari 2015 voor de gemeentelijke indeling van 1-1-2016.

Het aantal potentiële lokale klanten van een woonkern is gedefinieerd als het aantal inwoners dat die kern aantrekt uit alle kernen binnen een straal van 20 kilometer. De som van het aantal potentiële lokale klanten over alle gemeenten is gelijk aan het landelijk inwonertal op 1 januari en is afgerond op 10-tallen. Het zijn definitieve cijfers.
Voorafgaand aan de bepaling van het klantenpotentieel wordt eerst het zwaartepunt van ieder van de betrokken woonkernen bepaald. Het zwaartepunt van iedere woonkern wordt vastgelegd als een X- en een Y-coördinaat (in eenheden van 500 meter). Deze coördinaten worden in de berekening gebruikt om de onderlinge afstanden van woonkernen te bepalen. De afstand van een woonkern (Fvw-Gf) tot zichzelf en de afstand van twee woonkernen (Fvw-Gf) minder dan een kilometer wordt ten behoeve van de berekeningen op één kilometer gesteld. Vervolgens wordt het inwonertal van iedere woonkern binnen een gemeente bepaald. Inwoners van een gemeente die niet in een woonkern wonen, worden aan de woonkernen van een gemeente toegedeeld naar rato van hun inwonertal.
Als eerste stap in de berekening van het lokaal plantenpotentieel wordt voor iedere woonkern in Nederland het aantal inwoners volgens een formule opgesplitst in aantallen potentiële klanten van de woonkernen. Verondersteld is dat de lokale aantrekkingskracht van een kern recht evenredig toeneemt met het aantal inwoners en afneemt met het kwadraat van de afstand tot die kern. Als tweede stap wordt per woonkern de aldus toegekende potentiële lokale klanten opgeteld. Het klantenpotentieel van een gemeente wordt verkregen door het aantal potentiële klanten van alle woonkernen binnen de gemeente te sommeren.
Het peilmoment van definitieve cijfers ten behoeve van de Wmo naar gemeentelijke indeling 2016 is 1 januari  2015. Tijdens de berekeningen van het lokaal klantenpotentieel worden de zwaartepunten van de kernen en hun gewicht per gemeente bepaald. Hierdoor wijken deze berekende cijfers af van het lokaal klantenpotentieel zoals berekend in de tabel “Maatstaven Financiële-verhoudingswet (Fvw)” voor de Algemene Uitkeringen uit het Gemeentefonds waar definitieve cijfers naar gemeentelijke indeling 2016 worden berekend met cijfers van het peilmoment 1 januari 2016.";;Long;aantal;0;Impossible;;;;;;;;;
RegioS;;;;;;;;;;;;;;;;;;;;
Key;Title;Description;;;;;;;;;;;;;;;;;;
NL01  ;Nederland;;;;;;;;;;;;;;;;;;;
GM1680;Aa en Hunze;Ontstaan per 01-01-1998;;;;;;;;;;;;;;;;;;
GM0738;Aalburg;Ontstaan per 01-01-1973;;;;;;;;;;;;;;;;;;
GM0358;Aalsmeer;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0197;Aalten;"Gemeentelijke herindeling per 01-01-2005
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0059;Achtkarspelen;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0482;Alblasserdam;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0613;Albrandswaard;Ontstaan per 01-01-1985;;;;;;;;;;;;;;;;;;
GM0361;Alkmaar;"Gemeentelijke herindeling per 01-01-2015
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0141;Almelo;Begindatum 01-12-1913;;;;;;;;;;;;;;;;;;
GM0034;Almere;Ontstaan per 01-01-1984;;;;;;;;;;;;;;;;;;
GM0484;Alphen aan den Rijn;"Gemeentelijke herindeling per 01-01-2014
Naamswijziging per 01-01-1918";;;;;;;;;;;;;;;;;;
GM1723;Alphen-Chaam;Ontstaan per 01-01-1997;;;;;;;;;;;;;;;;;;
GM0060;Ameland;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0307;Amersfoort;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0362;Amstelveen;Naamswijziging per 01-01-1964;;;;;;;;;;;;;;;;;;
GM0363;Amsterdam;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0200;Apeldoorn;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0003;Appingedam;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0202;Arnhem;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0106;Assen;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0743;Asten;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0744;Baarle-Nassau;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0308;Baarn;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0489;Barendrecht;Naamswijziging per 10-12-1886;;;;;;;;;;;;;;;;;;
GM0203;Barneveld;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0005;Bedum;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0888;Beek (L.);Begindatum 02-01-1839;;;;;;;;;;;;;;;;;;
GM0370;Beemster;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0889;Beesel;Begindatum 02-01-1839;;;;;;;;;;;;;;;;;;
GM0007;Bellingwedde;Ontstaan per 01-09-1968;;;;;;;;;;;;;;;;;;
GM1945;Berg en Dal;Naamswijziging per 01-01-2016;;;;;;;;;;;;;;;;;;
GM1724;Bergeijk;Naamswijziging per 25-09-1998;;;;;;;;;;;;;;;;;;
GM0893;Bergen (L.);Begindatum 02-01-1839;;;;;;;;;;;;;;;;;;
GM0373;Bergen (NH.);"Gemeentelijke herindeling per 01-01-2001
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0748;Bergen op Zoom;"Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM1859;Berkelland;Ontstaan per 01-01-2005;;;;;;;;;;;;;;;;;;
GM1721;Bernheze;Naamswijziging per 28-01-1995;;;;;;;;;;;;;;;;;;
GM0753;Best;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0209;Beuningen;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0375;Beverwijk;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0063;het Bildt;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0310;De Bilt;"Gemeentelijke herindeling per 01-01-2001
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0585;Binnenmaas;"Gemeentelijke herindeling per 01-01-2007
Ontstaan per 01-01-1984";;;;;;;;;;;;;;;;;;
GM1728;Bladel;Ontstaan per 01-01-1997;;;;;;;;;;;;;;;;;;
GM0376;Blaricum;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0377;Bloemendaal;"Gemeentelijke herindeling per 01-01-2009
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM1901;Bodegraven-Reeuwijk;Ontstaan per 01-01-2011;;;;;;;;;;;;;;;;;;
GM0755;Boekel;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0009;Ten Boer;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM1681;Borger-Odoorn;Ontstaan per 01-01-1998;;;;;;;;;;;;;;;;;;
GM0147;Borne;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0654;Borsele;Naamswijziging per 01-01-1970;;;;;;;;;;;;;;;;;;
GM0756;Boxmeer;"Gemeentelijke herindeling per 01-01-1998
Gemeentelijke herindeling per 01-01-1994
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0757;Boxtel;"Gemeentelijke herindeling per 01-01-1996
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0758;Breda;"Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0501;Brielle;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM1876;Bronckhorst;Ontstaan per 01-01-2005;;;;;;;;;;;;;;;;;;
GM0213;Brummen;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0899;Brunssum;Begindatum 02-01-1839;;;;;;;;;;;;;;;;;;
GM0312;Bunnik;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0313;Bunschoten;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0214;Buren;"Gemeentelijke herindeling per 01-01-1999
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0502;Capelle aan den IJssel;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0383;Castricum;"Gemeentelijke herindeling per 01-01-2002
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0109;Coevorden;"Gemeentelijke herindeling per 01-01-1998
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM1706;Cranendonck;Naamswijziging per 28-01-1998;;;;;;;;;;;;;;;;;;
GM0611;Cromstrijen;Ontstaan per 01-01-1984;;;;;;;;;;;;;;;;;;
GM1684;Cuijk;Ontstaan per 01-01-1994;;;;;;;;;;;;;;;;;;
GM0216;Culemborg;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0148;Dalfsen;"Gemeentelijke herindeling per 01-01-2001
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM1891;Dantumadiel;Naamswijziging per 01-01-2009;;;;;;;;;;;;;;;;;;
GM0503;Delft;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0010;Delfzijl;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0762;Deurne;Naamswijziging per 01-01-1926;;;;;;;;;;;;;;;;;;
GM0150;Deventer;"Gemeentelijke herindeling per 01-01-2005
Gemeentelijke herindeling per 01-01-1999
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0384;Diemen;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM1774;Dinkelland;Naamswijziging per 01-06-2002;;;;;;;;;;;;;;;;;;
GM0221;Doesburg;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0222;Doetinchem;"Gemeentelijke herindeling per 01-01-2005
Begindatum 01-01-1920";;;;;;;;;;;;;;;;;;
GM0766;Dongen;"Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0058;Dongeradeel;Ontstaan per 01-01-1984;;;;;;;;;;;;;;;;;;
GM0505;Dordrecht;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0498;Drechterland;"Gemeentelijke herindeling per 01-01-2006
Naamswijziging per 01-01-1980";;;;;;;;;;;;;;;;;;
GM1719;Drimmelen;Naamswijziging per 25-04-1998;;;;;;;;;;;;;;;;;;
GM0303;Dronten;Ontstaan per 01-01-1972;;;;;;;;;;;;;;;;;;
GM0225;Druten;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0226;Duiven;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM1711;Echt-Susteren;Ontstaan per 01-01-2003;;;;;;;;;;;;;;;;;;
GM0385;Edam-Volendam;"Gemeentelijke herindeling per 01-01-2016
Naamswijziging per 01-01-1975";;;;;;;;;;;;;;;;;;
GM0228;Ede;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0317;Eemnes;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM1651;Eemsmond;Naamswijziging per 01-01-1992;;;;;;;;;;;;;;;;;;
GM0770;Eersel;"Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM1903;Eijsden-Margraten;Ontstaan per 01-01-2011;;;;;;;;;;;;;;;;;;
GM0772;Eindhoven;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0230;Elburg;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0114;Emmen;"Gemeentelijke herindeling per 01-01-1998
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0388;Enkhuizen;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0153;Enschede;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0232;Epe;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0233;Ermelo;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0777;Etten-Leur;Naamswijziging per 01-01-1968;;;;;;;;;;;;;;;;;;
GM1722;Ferwerderadiel;Naamswijziging per 01-01-1999;;;;;;;;;;;;;;;;;;
GM0070;Franekeradeel;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM1940;De Fryske Marren;Naamswijziging per 01-07-2015;;;;;;;;;;;;;;;;;;
GM0779;Geertruidenberg;"Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0236;Geldermalsen;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM1771;Geldrop-Mierlo;Ontstaan per 01-01-2004;;;;;;;;;;;;;;;;;;
GM1652;Gemert-Bakel;Ontstaan per 01-01-1997;;;;;;;;;;;;;;;;;;
GM0907;Gennep;Begindatum 02-01-1839;;;;;;;;;;;;;;;;;;
GM0689;Giessenlanden;Ontstaan per 01-01-1986;;;;;;;;;;;;;;;;;;
GM0784;Gilze en Rijen;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM1924;Goeree-Overflakkee;Ontstaan per 01-01-2013;;;;;;;;;;;;;;;;;;
GM0664;Goes;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0785;Goirle;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM1942;Gooise Meren;Ontstaan per 01-01-2016;;;;;;;;;;;;;;;;;;
GM0512;Gorinchem;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0513;Gouda;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0786;Grave;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0518;'s-Gravenhage (gemeente);Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0014;Groningen (gemeente);Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0015;Grootegast;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM1729;Gulpen-Wittem;Ontstaan per 01-01-1999;;;;;;;;;;;;;;;;;;
GM0158;Haaksbergen;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
